name,zcu102_75res
model_2870,8912.89419381788
model_1080,9406.91319270398
model_371,9524.81771094403
model_197,10211.8472988026
model_1528,10338.9640072403
model_2572,10338.9649853801
model_335,10509.8748503202
model_239,10509.8785435812
model_1136,10509.9374895572
model_2,10509.9714703425
model_2874,10670.8408939014
model_916,10670.8700570872
model_1541,10670.8790378725
model_3464,10670.8932017544
model_1237,10670.8979532164
model_537,10670.9017439432
model_2071,10670.9028891674
model_3046,10670.9049081036
model_3112,10670.9129281537
model_3412,10670.9144806461
model_3444,10670.9235763019
model_3428,10670.9275132275
model_1048,10670.9300821498
model_2243,10670.9497632971
model_1640,10670.9655736564
model_2651,10670.9668233083
model_955,10670.9788777499
model_531,10721.9484544695
model_3322,10945.8859440267
model_1038,10945.9052283486
model_407,11194.7102060707
model_603,11194.7237190198
model_3434,11194.7437482595
model_3350,11194.7525306321
model_2427,11194.7660749095
model_207,11194.7817738791
model_494,11194.8112921192
model_2072,11194.8113756614
model_2108,11194.8210665553
model_1734,11194.827307853
model_3250,11194.8336883876
model_2139,11194.8433932052
model_2462,11194.8494430521
model_394,11194.8558688388
model_752,11194.8562552214
model_3206,11194.8574352548
model_2159,11194.8828599276
model_2354,11194.8965504038
model_3355,11194.9210595934
model_391,11194.9223475355
model_2606,11194.9266186299
model_3291,11194.9318817878
model_2330,11194.9370057087
model_536,11194.9394597605
model_399,11194.9480785297
model_2214,11194.9563422445
model_1519,11194.9564188248
model_696,11194.9575048733
model_2497,11194.9638923698
model_1097,11194.9736737678
model_2557,11194.9795704539
model_1775,11287.9081801727
model_1542,11287.92232665
model_976,11287.9343428014
model_453,11287.949262044
model_594,11287.9717488165
model_709,11371.8436159844
model_2737,11371.845154553
model_2900,11371.8479427736
model_1066,11371.8552840434
model_1794,11371.8589773044
model_2689,11371.8831975773
model_2128,11371.8903056252
model_1364,11371.8975703147
model_1488,11371.8978835979
model_1491,11371.9023496241
model_2575,11371.9120161515
model_2591,11371.914160401
model_1322,11371.915542328
model_974,11371.9178849903
model_413,11371.9197994987
model_1,11371.9270989975
model_2517,11371.9357664996
model_2743,11371.9361911724
model_2793,11371.9444340017
model_814,11371.9480472013
model_2361,11371.9536201615
model_387,11371.9539125592
model_1227,11522.6723544974
model_770,11522.9046679198
model_1636,11697.922417154
model_1933,11697.9383180173
model_1226,11823.7210073796
model_634,11823.8487712336
model_327,11823.9361041493
model_794,11823.94363687
model_432,11823.9467522974
model_1104,11823.956505848
model_2964,12253.9428153718
model_903,12253.9431530214
model_503,12253.9845795043
model_2438,12508.8268100808
model_2381,12508.9061612364
model_3190,12508.9137322473
model_3280,12508.9407372598
model_2896,12593.9336396547
model_463,12593.9429998608
model_517,12698.8847187413
model_2432,12698.9310637705
model_3105,12698.9796853244
